Dataset,Condition,Overall Acc,RQ1 ρ,RQ1 p,RQ1 95% CI,R²,RSA ρ,RSA p,RSA 95% CI
BANKING77_PILOT12,Bare Labels,0.8229,-0.1533,2.19e-01,"[-0.403, 0.106]",0.033,0.517,8.80e-06,"[0.338, 0.663]"
BANKING77_PILOT12,LLM Descriptions,0.7937,-0.1501,2.29e-01,"[-0.395, 0.124]",0.0193,0.5283,5.13e-06,"[0.336, 0.684]"
BANKING77,Bare Labels,0.5883,-0.0654,4.06e-04,"[-0.100, -0.029]",0.0044,0.3175,1.60e-69,"[0.283, 0.349]"
BANKING77,LLM Descriptions,0.6396,-0.08,1.50e-05,"[-0.114, -0.044]",0.004,0.2784,3.02e-53,"[0.237, 0.313]"
CLINC150,Bare Labels,0.6842,-0.1041,1.62e-24,"[-0.125, -0.084]",0.0087,0.1684,7.07e-72,"[0.151, 0.185]"
CLINC150,LLM Descriptions,0.7326,-0.0609,2.46e-09,"[-0.080, -0.041]",0.0007,0.1456,5.33e-54,"[0.129, 0.163]"
